reference_id,url,language_crawl,statement_node,subject,predicate,object,url_type,is_inferred_from,stated_in,external_id_prop,external_id,internal_urls,external_url,wikimedia_import_urls,retrieved,publication_date,is_present,difficulty,reason,author,publisher,sub_publisher,long_sub_publisher,authoritative
a4e7281c6909b7cb2dc251f84627a41204abe07e,https://viaf.org/viaf/64195194,en,Q7172351-D3F236F2-D920-4CF4-965E-0F33F68142A0,Pete Wylie,DNB ID,134561961,internal_url,None,Q54919,P214,64195194,['https://viaf.org/viaf/64195194'],None,[],"{'time': '+2017-10-16T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}",None,1,3,-1,1,1,3,1.3,Yes
eec01187c078f8e4994ae4edd38a7e8c1a300233,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:23666324%20AND%20SRC:MED&resulttype=core&format=json,en,Q44753358-59ACE205-1F9D-44F9-A74B-BF6FD0979EA2,"An assessment of heavy metal bioaccumulation in Asian swamp eel, Monopterus albus, during plowing stages of a paddy cycle.",PubMed ID,23666324,external_url,None,Q5412157,P698,23666324,"['https://pubmed.ncbi.nlm.nih.gov/23666324', 'https://www.ncbi.nlm.nih.gov/pubmed/23666324/']",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:23666324%20AND%20SRC:MED&resulttype=core&format=json,[],"{'time': '+2020-03-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}",None,1,3,-1,1,0,0,0.0,Yes
5fcb9535013745aa366695b0ad4447f5cd7d3224,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:22832743%20AND%20SRC:MED&resulttype=core&format=json,en,Q84622415-AE4E1E00-DD0C-413F-9356-DEE4A4045E35,Bottom-up optimization of SERS hot-spots,page(s),9346-9348,external_url,None,Q5412157,P698,22832743,"['https://pubmed.ncbi.nlm.nih.gov/22832743', 'https://www.ncbi.nlm.nih.gov/pubmed/22832743/']",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:22832743%20AND%20SRC:MED&resulttype=core&format=json,[],"{'time': '+2020-02-09T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}",None,1,3,-1,1,0,0,0.0,Yes
a10885a0cc7258364dd9f3b7cc39491d3793aa4d,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:18824271%20AND%20SRC:MED&resulttype=core&format=json,en,Q82111771-70D99A66-3CE8-435C-BA6E-6615C847C4CA,Safety and efficacy of inhaled human insulin (Exubera) during discontinuation and readministration of therapy in adults with type 1 diabetes: A 3-year randomized controlled trial,PubMed ID,18824271,external_url,None,Q5412157,P698,18824271,"['https://pubmed.ncbi.nlm.nih.gov/18824271', 'https://www.ncbi.nlm.nih.gov/pubmed/18824271/']",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:18824271%20AND%20SRC:MED&resulttype=core&format=json,[],"{'time': '+2020-01-14T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}",None,1,3,-1,1,0,0,0.0,Yes
6831ccb51015d8641bff0db303fd8e21dc342c67,https://api.crossref.org/works/10.1111%2FPALA.12330,en,Q48109821-D3B78AF9-6CEF-4F46-BC57-E879A6FC51BA,Probabilistic methods surpass parsimony when assessing clade support in phylogenetic analyses of discrete morphological data.,cites work,"TNT, a free program for phylogenetic analysis",external_url,None,Q5188229,None,None,None,https://api.crossref.org/works/10.1111%2FPALA.12330,[],"{'time': '+2018-01-21T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}",None,1,3,-1,1,0,2,0.2,Yes
d8f59eaf3ae061cf6ddca2020b8dcb18ff1b873a,http://purl.uniprot.org/uniprot/Q7W0C7,en,Q23369355-5F102B62-D804-4C28-94DB-41135DF61910,short-chain fatty acids transporter BP0218,encodes,Short-chain fatty acids transporter BP0218,internal_url,None,Q905695,P352,Q7W0C7,['http://purl.uniprot.org/uniprot/Q7W0C7'],None,[],"{'time': '+2017-06-08T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}",None,0,-1,4,1,0,2,0.2,Yes
b38f9e1b3b3dd9d6bae24750110b00c1e14aede1,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:20308698%20AND%20SRC:MED&resulttype=core&format=json,en,Q56649271-B092D78C-A416-4BF6-8F56-1B10D70BB9ED,The physical and physiological demands of basketball training and competition,published in,International Journal of Sports Physiology and Performance,external_url,None,Q5412157,P698,20308698,"['https://pubmed.ncbi.nlm.nih.gov/20308698', 'https://www.ncbi.nlm.nih.gov/pubmed/20308698/']",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:20308698%20AND%20SRC:MED&resulttype=core&format=json,[],"{'time': '+2020-01-28T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}",None,1,3,-1,1,0,0,0.0,Yes
8415c6268cc43138efbe72c70dbf3e6f98e6b03e,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:28537710%20AND%20SRC:MED&resulttype=core&format=json,en,Q48108018-43A8AC27-38AF-4CD9-8CD4-CF349420623E,Elucidating Adsorptive Fractions of Natural Organic Matter on Carbon Nanotubes.,author,Mohamed Ateia,external_url,None,Q5412157,P698,28537710,"['https://pubmed.ncbi.nlm.nih.gov/28537710', 'https://www.ncbi.nlm.nih.gov/pubmed/28537710/']",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:28537710%20AND%20SRC:MED&resulttype=core&format=json,[],"{'time': '+2020-03-21T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}",None,1,3,-1,1,0,0,0.0,Yes
50938e16888b4c78a841c72a5aa4b05d088bbb2f,https://en.wikipedia.org/w/index.php?title=WURV&oldid=837771911,en,Q7956674-C57F47D4-20CB-41AF-97E9-343C7ADD5C7E,WURV,owned by,SummitMedia,wikimedia_import_url,None,None,None,None,None,None,['https://en.wikipedia.org/w/index.php?title=WURV&oldid=837771911'],None,None,1,3,-1,2,4,-1,4.0,No
b581a59fa8ca5c4e9788df29a6eb10457b5716d0,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:8324340%20AND%20SRC:MED&resulttype=core&format=json,en,Q72813204-1ADC505C-3303-42A4-9605-7CC84EAC75DE,Closure of a perineal sinus connected with the small bowel developing after radical surgery for rectal carcinoma: a report of the operative procedures used in two cases,issue,5,external_url,None,Q5412157,P698,8324340,"['https://pubmed.ncbi.nlm.nih.gov/8324340', 'https://www.ncbi.nlm.nih.gov/pubmed/8324340/']",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:8324340%20AND%20SRC:MED&resulttype=core&format=json,[],"{'time': '+2019-10-29T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}",None,1,3,-1,1,0,0,0.0,Yes
